x,y,accel,injury
4430,993,-0.14703929493373397,-0.4514853065414824
4317,994,0.5066923596206834,-0.09142177843644415
4203,996,0.4730364559362735,0.24819026340078168
4090,998,-0.29388334357261947,-0.3141068405196122
3976,999,-0.4732391649055323,-0.3537385036209164
3863,1001,-0.34711480568961595,-0.07260392636293304
3749,1003,0.014242745306371273,-0.2267956780411514
3636,1004,-0.2748382011447114,-0.39523810665107234
3522,1006,-0.2007175390011801,-0.4514853065414824
3408,1008,-0.429196429166317,-0.3532350161416644
3295,1009,0.25543497617836114,0.2894769664006696
3181,1011,-0.13804423797536525,-0.20308047672547244
3068,1013,-0.2999447835647397,-0.1483265385794177
2954,1014,-0.36356834955510975,1.139622798548721
2841,1016,-0.3134672256049822,-0.3034321301829955
2727,1017,-0.24990143392936992,-0.24937640311290366
2614,1019,-0.21244328985514122,-0.21873261729270954
2500,1021,-0.22575103308525635,-0.14208133707633017
2387,1022,-0.3475012246810344,-0.14187777969644594
2273,1024,-0.30004385501175423,-0.1849207103838988
2160,1026,-0.274773214557286,-0.164572459600559
2046,1027,-0.30379211108285886,0.02102807709091335
1932,1029,-0.20738667946191316,-0.32229546961380495
1819,1031,-0.0675244074320475,-0.24797860772377037
1705,1032,-0.2135922059694125,-0.39981636202840165
1592,1034,-0.06000476722982162,-0.4082388163024571
1478,1035,-0.20758803607737636,-0.16903552892508764
1365,1037,-0.07182095550622132,-0.387073154879676
1251,1039,-0.1775525965457058,-0.20722688322717234
1138,1040,0.24254429543417927,0.2347244069303734
