gene,arm,base,CEBPB_delta,CEBPB_score,SPI1_delta,SPI1_score
CD44,accelerator,6.049200057983398,-0.004055976867675781,7.322460890782683,-0.5516877174377441,13.094150114240001
CD44,accelerator,5.142813205718994,-0.41824913024902344,9.112586115560742,0.014128684997558594,11.096627610459805
CD44,accelerator,5.419233322143555,4.76837158203125e-07,8.408367186294237,0.042412757873535156,12.799938667940623
CD44,accelerator,5.353087425231934,-0.0007085800170898438,6.8174409999907635,-1.3738420009613037,16.717610315061926
CD68,accelerator,5.5579352378845215,-0.04075765609741211,4.165785015834816,0.029525279998779297,12.898020260425039
CD68,accelerator,7.326943397521973,-0.001804351806640625,6.4676028936054895,0.040050506591796875,13.827360575712344
CD68,accelerator,5.366042137145996,0.04369544982910156,8.995949572020852,-0.03950786590576172,12.517906159708447
CD68,accelerator,6.994311332702637,0.008676528930664062,12.204961242765382,0.0010704994201660156,13.099679550914683
CD68,accelerator,6.555150032043457,-0.273561954498291,11.398583253057321,-0.14021682739257812,11.928560785703562
CD68,accelerator,6.227510929107666,-0.025082111358642578,5.609818005301162,0.0035300254821777344,11.166673415356822
CD68,accelerator,6.759312152862549,0.00021648406982421875,5.609818005301162,0.014862060546875,10.345663167211049
CD68,accelerator,7.3650946617126465,-0.14192724227905273,13.068495305000788,0.018642902374267578,14.726413710041296
CD68,accelerator,6.589721202850342,-0.3048429489135742,9.460138187786274,-0.7906222343444824,18.4521396695279
CD68,accelerator,6.972056865692139,-0.07526350021362305,6.867234357987445,0.01842641830444336,14.967147751856812
CD68,accelerator,5.90484619140625,0.2684493064880371,2.9094370184594256,0.012404441833496094,6.084792156090781
CD68,accelerator,7.132684230804443,-0.01052093505859375,5.912398982823758,0.03479909896850586,11.712343688220866
CD68,accelerator,6.433060646057129,0.0909733772277832,6.607665501007169,0.04210186004638672,16.381847010275706
CD68,accelerator,6.413116931915283,0.00037288665771484375,5.133945612410562,-0.0004734992980957031,16.381847010275706
CD68,accelerator,5.604851245880127,0.0008172988891601562,5.912398982823758,-0.007213115692138672,13.960380707049996
CLEC7A,accelerator,5.519249439239502,-0.6064858436584473,8.18828574159565,-0.8980097770690918,12.564864469556131
CLEC7A,accelerator,5.318835735321045,0.015735149383544922,11.876972847127778,0.44441938400268555,9.475874074982558
CLEC7A,accelerator,5.0736212730407715,0.006302356719970703,8.656131353050144,-0.5739355087280273,17.076210313481596
